Date,Price,RSI,STATUS,D%Change,YTD%Change,Y%Change
01-12-2024,60.63,52.84,HOLD,-2.87,86.78,72.74
01-11-2024,62.42,61.75,HOLD,-1.23,92.30,78.80
01-10-2024,63.20,66.28,HOLD,1.06,94.70,75.85
01-09-2024,62.54,64.22,HOLD,-0.35,92.67,79.45
01-08-2024,62.76,65.45,HOLD,2.33,93.35,82.39
01-05-2024,61.33,60.91,HOLD,0.71,88.94,77.51
01-04-2024,60.90,59.42,HOLD,0.98,87.62,80.44
01-03-2024,60.31,57.34,HOLD,-2.79,85.80,80.84
01-02-2024,62.04,66.61,HOLD,-0.67,91.13,91.13
12-29-2023,62.46,69.12,HOLD,-0.78,92.42,0.00
12-28-2023,62.95,72.08,HOLD,-0.19,93.93,0.00
12-27-2023,63.07,72.78,HOLD,0.46,94.30,0.00
12-26-2023,62.78,72.17,HOLD,1.13,93.41,0.00
12-22-2023,62.08,70.69,HOLD,0.08,91.25,0.00
12-21-2023,62.03,70.59,HOLD,1.12,91.10,0.00
12-20-2023,61.34,69.19,HOLD,-1.24,88.97,0.00
12-19-2023,62.11,72.77,HOLD,2.90,91.34,0.00
12-18-2023,60.36,69.44,HOLD,-0.46,85.95,0.00
12-15-2023,60.64,70.72,HOLD,-3.45,86.81,0.00
12-14-2023,62.81,81.61,SELL,8.52,93.50,0.00
12-13-2023,57.88,72.76,HOLD,4.14,78.31,0.00
12-12-2023,55.58,65.60,HOLD,-0.89,71.23,0.00
12-11-2023,56.08,69.28,HOLD,-1.01,72.77,0.00
12-08-2023,56.65,73.65,HOLD,0.25,74.52,0.00
12-07-2023,56.51,73.27,HOLD,1.80,74.09,0.00
12-06-2023,55.51,70.40,HOLD,1.97,71.01,0.00
12-05-2023,54.44,66.87,HOLD,-0.48,67.71,0.00
12-04-2023,54.70,68.72,HOLD,1.54,68.52,0.00
12-01-2023,53.87,65.92,HOLD,3.40,65.96,0.00
11-30-2023,52.10,58.60,HOLD,-0.59,60.51,0.00
11-29-2023,52.41,60.72,HOLD,0.50,61.46,0.00
11-28-2023,52.15,59.58,HOLD,-1.12,60.66,0.00
11-27-2023,52.74,63.46,HOLD,-0.62,62.48,0.00
11-24-2023,53.07,65.68,HOLD,0.09,63.49,0.00
11-22-2023,53.02,65.52,HOLD,-0.02,63.34,0.00
11-21-2023,53.03,65.58,HOLD,-0.73,63.37,0.00
11-20-2023,53.42,67.84,HOLD,-0.84,64.57,0.00
11-17-2023,53.87,70.44,HOLD,-0.15,65.96,0.00
11-16-2023,53.95,70.88,HOLD,0.54,66.20,0.00
11-15-2023,53.66,70.25,HOLD,-1.27,65.31,0.00
11-14-2023,54.35,73.82,HOLD,6.95,67.44,0.00
11-13-2023,50.82,65.48,HOLD,-0.59,56.56,0.00
11-10-2023,51.12,67.17,HOLD,1.57,57.49,0.00
11-09-2023,50.33,64.96,HOLD,-1.53,55.05,0.00
11-08-2023,51.11,69.23,HOLD,-0.89,57.46,0.00
11-07-2023,51.57,71.82,HOLD,1.80,58.87,0.00
11-06-2023,50.66,69.74,HOLD,-1.02,56.07,0.00
11-03-2023,51.18,72.58,HOLD,4.75,57.67,0.00
11-02-2023,48.86,67.02,HOLD,5.14,50.52,0.00
11-01-2023,46.47,59.08,HOLD,5.14,43.16,0.00
10-31-2023,44.20,48.05,HOLD,1.98,36.17,0.00
10-30-2023,43.34,42.60,HOLD,0.44,33.52,0.00
10-27-2023,43.15,41.34,HOLD,0.02,32.93,0.00
10-26-2023,43.14,41.28,HOLD,1.84,32.90,0.00
10-25-2023,42.36,36.33,HOLD,-1.72,30.50,0.00
10-24-2023,43.10,39.24,HOLD,-0.25,32.78,0.00
10-23-2023,43.21,39.68,HOLD,2.13,33.12,0.00
10-20-2023,42.31,34.07,HOLD,-0.52,30.35,0.00
10-19-2023,42.53,34.80,HOLD,-2.05,31.02,0.00
10-18-2023,43.42,37.88,HOLD,-2.67,33.76,0.00
10-17-2023,44.61,42.54,HOLD,1.62,37.43,0.00
10-16-2023,43.90,38.33,HOLD,0.09,35.24,0.00
10-13-2023,43.86,38.10,HOLD,1.55,35.12,0.00
10-12-2023,43.19,34.16,HOLD,-5.51,33.06,0.00
10-11-2023,45.71,43.91,HOLD,0.86,40.82,0.00
10-10-2023,45.32,41.51,HOLD,1.68,39.62,0.00
10-09-2023,44.57,36.67,HOLD,0.75,37.31,0.00
10-06-2023,44.24,34.46,HOLD,0.32,36.29,0.00
10-05-2023,44.10,33.55,HOLD,-1.12,35.86,0.00
10-04-2023,44.60,35.18,HOLD,1.04,37.40,0.00
10-03-2023,44.14,32.37,HOLD,-3.77,35.98,0.00
10-02-2023,45.87,38.13,HOLD,-0.89,41.31,0.00
09-29-2023,46.28,39.69,HOLD,-0.94,42.58,0.00
09-28-2023,46.72,41.37,HOLD,2.14,43.93,0.00
09-27-2023,45.74,35.74,HOLD,0.59,40.91,0.00
09-26-2023,45.47,34.12,HOLD,-1.88,40.08,0.00
09-25-2023,46.34,36.90,HOLD,0.30,42.76,0.00
09-22-2023,46.20,36.12,HOLD,0.43,42.33,0.00
09-21-2023,46.00,35.06,HOLD,-4.29,41.71,0.00
09-20-2023,48.06,41.68,HOLD,-0.72,48.06,0.00
09-19-2023,48.41,42.96,HOLD,0.25,49.14,0.00
09-18-2023,48.29,42.40,HOLD,1.05,48.77,0.00
09-15-2023,47.79,40.11,HOLD,-4.25,47.23,0.00
09-14-2023,49.91,47.55,HOLD,2.00,53.76,0.00
09-13-2023,48.93,43.01,HOLD,-1.31,50.74,0.00
09-12-2023,49.58,45.43,HOLD,-2.27,52.74,0.00
09-11-2023,50.73,50.06,HOLD,0.73,56.28,0.00
09-08-2023,50.36,48.49,HOLD,-0.71,55.14,0.00
09-07-2023,50.72,49.91,HOLD,1.44,56.25,0.00
09-06-2023,50.00,47.04,HOLD,1.90,54.04,0.00
09-05-2023,49.07,43.13,HOLD,-5.25,51.17,0.00
09-01-2023,51.79,53.93,HOLD,1.95,59.55,0.00
08-31-2023,50.80,49.67,HOLD,-0.10,56.50,0.00
08-30-2023,50.85,49.89,HOLD,2.94,56.65,0.00
08-29-2023,49.40,43.23,HOLD,3.07,52.19,0.00
08-28-2023,47.93,35.12,HOLD,0.04,47.66,0.00
08-25-2023,47.91,35.00,HOLD,-1.34,47.60,0.00
08-24-2023,48.56,37.02,HOLD,-1.60,49.60,0.00
08-23-2023,49.35,39.60,HOLD,0.59,52.03,0.00
08-22-2023,49.06,38.13,HOLD,1.03,51.14,0.00
08-21-2023,48.56,35.62,HOLD,-1.06,49.60,0.00
08-18-2023,49.08,37.08,HOLD,1.26,51.20,0.00
08-17-2023,48.47,34.15,HOLD,-5.85,49.32,0.00
08-16-2023,51.48,43.39,HOLD,-4.26,58.60,0.00
08-15-2023,53.77,53.64,HOLD,0.84,65.65,0.00
08-14-2023,53.32,51.55,HOLD,1.74,64.26,0.00
08-11-2023,52.41,47.08,HOLD,-0.61,61.46,0.00
08-10-2023,52.73,48.54,HOLD,-2.39,62.45,0.00
08-09-2023,54.02,54.94,HOLD,-1.46,66.42,0.00
08-08-2023,54.82,59.46,HOLD,0.11,68.88,0.00
08-07-2023,54.76,59.22,HOLD,0.85,68.70,0.00
08-04-2023,54.30,57.48,HOLD,1.99,67.28,0.00
08-03-2023,53.24,53.20,HOLD,-2.06,64.02,0.00
08-02-2023,54.36,59.03,HOLD,-0.93,67.47,0.00
08-01-2023,54.87,61.90,HOLD,1.67,69.04,0.00
07-31-2023,53.97,58.60,HOLD,-0.61,66.27,0.00
07-28-2023,54.30,60.38,HOLD,2.36,67.28,0.00
07-27-2023,53.05,55.65,HOLD,-1.49,63.43,0.00
07-26-2023,53.85,59.90,HOLD,-0.46,65.90,0.00
07-25-2023,54.10,61.26,HOLD,2.09,66.67,0.00
07-24-2023,52.99,57.26,HOLD,0.66,63.25,0.00
07-21-2023,52.64,55.93,HOLD,1.46,62.17,0.00
07-20-2023,51.88,52.98,HOLD,-5.19,59.83,0.00
07-19-2023,54.72,69.01,HOLD,-0.07,68.58,0.00
07-18-2023,54.76,69.29,HOLD,0.70,68.70,0.00
07-17-2023,54.38,68.17,HOLD,-0.29,67.53,0.00
07-14-2023,54.54,69.15,HOLD,2.98,68.02,0.00
07-13-2023,52.96,64.46,HOLD,0.00,63.15,0.00
07-12-2023,52.96,64.46,HOLD,3.42,63.15,0.00
07-11-2023,51.21,58.42,HOLD,0.69,57.76,0.00
07-10-2023,50.86,57.06,HOLD,5.45,56.69,0.00
07-07-2023,48.23,44.41,HOLD,-0.21,48.58,0.00
07-06-2023,48.33,44.88,HOLD,-4.39,48.89,0.00
07-05-2023,50.55,57.29,HOLD,-2.19,55.73,0.00
07-03-2023,51.68,65.90,HOLD,-0.06,59.21,0.00
06-30-2023,51.71,66.15,HOLD,0.76,59.30,0.00
06-29-2023,51.32,64.56,HOLD,-0.62,58.10,0.00
06-28-2023,51.64,66.96,HOLD,-1.17,59.09,0.00
06-27-2023,52.25,71.67,HOLD,2.15,60.97,0.00
06-26-2023,51.15,67.88,HOLD,-1.67,57.58,0.00
06-23-2023,52.02,75.27,SELL,0.91,60.26,0.00
06-22-2023,51.55,73.85,HOLD,-0.88,58.81,0.00
06-21-2023,52.01,77.94,SELL,1.88,60.23,0.00
06-20-2023,51.05,75.28,SELL,0.55,57.27,0.00
06-16-2023,50.77,74.45,SELL,0.77,56.41,0.00
06-15-2023,50.38,73.29,HOLD,1.27,55.21,0.00
06-14-2023,49.75,71.33,HOLD,-1.01,53.27,0.00
06-13-2023,50.26,75.49,SELL,0.48,54.84,0.00
06-12-2023,50.02,74.85,SELL,2.63,54.10,0.00
06-09-2023,48.74,71.11,HOLD,1.14,50.15,0.00
06-08-2023,48.19,69.28,HOLD,-0.43,48.46,0.00
06-07-2023,48.40,70.87,HOLD,0.08,49.11,0.00
06-06-2023,48.36,70.75,HOLD,5.20,48.98,0.00
06-05-2023,45.97,62.23,HOLD,0.63,41.62,0.00
06-02-2023,45.68,60.95,HOLD,4.22,40.73,0.00
06-01-2023,43.83,51.13,HOLD,1.15,35.03,0.00
05-31-2023,43.33,47.84,HOLD,-2.48,33.49,0.00
05-30-2023,44.43,55.47,HOLD,0.70,36.88,0.00
05-26-2023,44.12,53.53,HOLD,-0.43,35.92,0.00
05-25-2023,44.31,54.89,HOLD,1.63,36.51,0.00
05-24-2023,43.60,50.53,HOLD,1.89,34.32,0.00
05-23-2023,42.79,44.87,HOLD,-3.15,31.82,0.00
05-22-2023,44.18,54.86,HOLD,-1.73,36.11,0.00
05-19-2023,44.96,62.06,HOLD,-2.32,38.51,0.00
05-18-2023,46.03,74.51,SELL,0.46,41.81,0.00
05-17-2023,45.82,73.54,HOLD,0.46,41.16,0.00
05-16-2023,45.61,72.58,HOLD,-0.18,40.51,0.00
05-15-2023,45.69,73.53,HOLD,-0.07,40.76,0.00
05-12-2023,45.72,73.86,HOLD,-0.46,40.85,0.00
05-11-2023,45.93,76.13,SELL,1.08,41.50,0.00
05-10-2023,45.44,74.43,SELL,0.96,39.99,0.00
05-09-2023,45.01,72.85,HOLD,0.45,38.66,0.00
05-08-2023,44.81,72.11,HOLD,1.75,38.05,0.00
05-05-2023,44.04,69.09,HOLD,1.50,35.67,0.00
05-04-2023,43.39,66.23,HOLD,-1.77,33.67,0.00
05-03-2023,44.17,73.86,HOLD,0.68,36.08,0.00
05-02-2023,43.87,72.74,HOLD,-0.34,35.15,0.00
05-01-2023,44.02,74.22,SELL,0.46,35.61,0.00
04-28-2023,43.82,73.55,HOLD,3.28,35.00,0.00
04-27-2023,42.43,68.26,HOLD,3.29,30.71,0.00
04-26-2023,41.08,61.27,HOLD,-1.79,26.56,0.00
04-25-2023,41.83,69.12,HOLD,-0.33,28.87,0.00
04-24-2023,41.97,70.69,HOLD,0.67,29.30,0.00
04-21-2023,41.69,69.40,HOLD,0.43,28.43,0.00
04-20-2023,41.51,68.57,HOLD,1.54,27.88,0.00
04-19-2023,40.88,65.55,HOLD,0.37,25.94,0.00
04-18-2023,40.73,64.81,HOLD,2.29,25.48,0.00
04-17-2023,39.82,59.90,HOLD,0.33,22.67,0.00
04-14-2023,39.69,59.14,HOLD,0.89,22.27,0.00
04-13-2023,39.34,57.12,HOLD,0.72,21.20,0.00
04-12-2023,39.06,55.49,HOLD,-0.76,20.33,0.00
04-11-2023,39.36,57.68,HOLD,1.89,21.26,0.00
04-10-2023,38.63,53.54,HOLD,0.60,19.01,0.00
04-06-2023,38.40,52.17,HOLD,-3.71,18.30,0.00
04-05-2023,39.88,63.31,HOLD,-1.09,22.86,0.00
04-04-2023,40.32,67.28,HOLD,-0.57,24.21,0.00
04-03-2023,40.55,69.39,HOLD,0.92,24.92,0.00
03-31-2023,40.18,67.88,HOLD,1.44,23.78,0.00
03-30-2023,39.61,65.45,HOLD,-1.57,22.03,0.00
03-29-2023,40.24,70.96,HOLD,-0.22,23.97,0.00
03-28-2023,40.33,71.76,HOLD,0.60,24.25,0.00
03-27-2023,40.09,70.95,HOLD,-0.79,23.51,0.00
03-24-2023,40.41,73.57,HOLD,2.12,24.49,0.00
03-23-2023,39.57,70.96,HOLD,7.53,21.90,0.00
03-22-2023,36.80,58.34,HOLD,0.44,13.37,0.00
03-21-2023,36.64,57.35,HOLD,2.69,12.88,0.00
03-20-2023,35.68,50.81,HOLD,1.13,9.92,0.00
03-17-2023,35.28,47.71,HOLD,-0.70,8.69,0.00
03-16-2023,35.53,49.52,HOLD,1.81,9.46,0.00
03-15-2023,34.90,44.60,HOLD,-1.33,7.52,0.00
03-14-2023,35.37,47.83,HOLD,0.86,8.96,0.00
03-13-2023,35.07,45.49,HOLD,1.30,8.04,0.00
03-10-2023,34.62,41.85,HOLD,-2.62,6.65,0.00
03-09-2023,35.55,47.99,HOLD,-0.17,9.52,0.00
03-08-2023,35.61,48.42,HOLD,1.48,9.70,0.00
03-07-2023,35.09,44.46,HOLD,0.29,8.10,0.00
03-06-2023,34.99,43.68,HOLD,-2.15,7.79,0.00
03-03-2023,35.76,48.51,HOLD,1.62,10.17,0.00
03-02-2023,35.19,44.28,HOLD,0.86,8.41,0.00
03-01-2023,34.89,41.95,HOLD,-1.08,7.49,0.00
02-28-2023,35.27,44.12,HOLD,-0.23,8.66,0.00
02-27-2023,35.35,44.57,HOLD,0.43,8.90,0.00
02-24-2023,35.20,43.56,HOLD,-0.90,8.44,0.00
02-23-2023,35.52,45.18,HOLD,2.16,9.43,0.00
02-22-2023,34.77,40.35,HOLD,0.75,7.12,0.00
02-21-2023,34.51,38.61,HOLD,-3.22,6.32,0.00
02-17-2023,35.66,43.87,HOLD,-2.52,9.86,0.00
02-16-2023,36.58,48.82,HOLD,-1.45,12.69,0.00
02-15-2023,37.12,52.01,HOLD,-0.96,14.36,0.00
02-14-2023,37.48,54.20,HOLD,-1.81,15.47,0.00
02-13-2023,38.17,58.61,HOLD,2.17,17.59,0.00
02-10-2023,37.36,54.58,HOLD,0.16,15.10,0.00
02-09-2023,37.30,54.28,HOLD,-1.03,14.91,0.00
02-08-2023,37.69,56.58,HOLD,-4.44,16.11,0.00
02-07-2023,39.44,68.68,HOLD,1.10,21.50,0.00
02-06-2023,39.01,67.08,HOLD,-1.71,20.18,0.00
02-03-2023,39.69,72.54,HOLD,-1.83,22.27,0.00
02-02-2023,40.43,79.06,SELL,4.12,24.55,0.00
02-01-2023,38.83,74.45,SELL,0.99,19.62,0.00
01-31-2023,38.45,73.15,HOLD,4.63,18.45,0.00
01-30-2023,36.75,65.94,HOLD,-1.95,13.22,0.00
01-27-2023,37.48,73.85,HOLD,0.21,15.47,0.00
01-26-2023,37.40,73.52,HOLD,1.08,15.22,0.00
01-25-2023,37.00,71.91,HOLD,0.46,13.99,0.00
01-24-2023,36.83,71.22,HOLD,1.94,13.46,0.00
01-23-2023,36.13,68.23,HOLD,2.18,11.31,0.00
01-20-2023,35.36,64.46,HOLD,1.61,8.93,0.00
01-19-2023,34.80,61.37,HOLD,-1.39,7.21,0.00
01-18-2023,35.29,66.04,HOLD,0.28,8.72,0.00
01-17-2023,35.19,65.55,HOLD,0.26,8.41,0.00
01-13-2023,35.10,65.12,HOLD,0.54,8.13,0.00
01-12-2023,34.91,64.25,HOLD,-2.87,7.55,0.00
01-11-2023,35.94,73.46,HOLD,3.13,10.72,0.00
01-10-2023,34.85,69.11,HOLD,1.28,7.36,0.00
01-09-2023,34.41,67.08,HOLD,-0.41,6.01,0.00
01-06-2023,34.55,68.41,HOLD,2.37,6.44,0.00
01-05-2023,33.75,64.72,HOLD,1.20,3.97,0.00
01-04-2023,33.35,62.69,HOLD,2.74,2.74,0.00
01-03-2023,32.46,57.67,HOLD,1.92,0.00,0.00
12-30-2022,31.85,53.71,HOLD,-0.56,,0.00
12-29-2022,32.03,55.12,HOLD,2.23,,0.00
12-28-2022,31.33,50.41,HOLD,-2.15,,0.00
12-27-2022,32.02,55.77,HOLD,-0.37,,0.00
12-23-2022,32.14,56.75,HOLD,-0.99,,0.00
12-22-2022,32.46,59.31,HOLD,0.84,,0.00
12-21-2022,32.19,57.82,HOLD,2.65,,0.00
12-20-2022,31.36,52.88,HOLD,0.29,,0.00
12-19-2022,31.27,52.31,HOLD,-2.77,,0.00
12-16-2022,32.16,58.76,HOLD,-1.98,,0.00
12-15-2022,32.81,64.11,HOLD,2.18,,0.00
12-14-2022,32.11,60.51,HOLD,0.06,,0.00
12-13-2022,32.09,60.41,HOLD,1.29,,0.00
12-12-2022,31.68,58.29,HOLD,2.03,,0.00
12-09-2022,31.05,54.84,HOLD,-1.71,,0.00
12-08-2022,31.59,58.70,HOLD,0.70,,0.00
12-07-2022,31.37,57.57,HOLD,3.57,,0.00
12-06-2022,30.29,51.53,HOLD,-1.94,,0.00
12-05-2022,30.89,55.62,HOLD,-1.94,,0.00
12-02-2022,31.50,60.12,HOLD,-1.59,,0.00
12-01-2022,32.01,64.15,HOLD,1.98,,0.00
11-30-2022,31.39,61.21,HOLD,1.98,,0.00
11-29-2022,30.78,58.08,HOLD,1.25,,0.00
11-28-2022,30.40,56.02,HOLD,-1.49,,0.00
11-25-2022,30.86,59.29,HOLD,-0.16,,0.00
11-23-2022,30.91,59.64,HOLD,1.91,,0.00
11-22-2022,30.33,56.89,HOLD,2.54,,0.00
11-21-2022,29.58,53.04,HOLD,-1.43,,0.00
11-18-2022,30.01,55.69,HOLD,0.60,,0.00
11-17-2022,29.83,54.81,HOLD,-2.20,,0.00
11-16-2022,30.50,58.83,HOLD,-0.78,,0.00
11-15-2022,30.74,60.30,HOLD,2.06,,0.00
11-14-2022,30.12,57.77,HOLD,-4.11,,0.00
11-11-2022,31.41,65.89,HOLD,1.22,,0.00
11-10-2022,31.03,64.53,HOLD,10.86,,0.00
11-09-2022,27.99,49.53,HOLD,-0.57,,0.00
11-08-2022,28.15,50.57,HOLD,-0.35,,0.00
11-07-2022,28.25,51.20,HOLD,0.11,,0.00
11-04-2022,28.22,51.03,HOLD,4.13,,0.00
11-03-2022,27.10,44.34,HOLD,-2.76,,0.00
11-02-2022,27.87,48.58,HOLD,-3.40,,0.00
11-01-2022,28.85,54.76,HOLD,0.10,,0.00
10-31-2022,28.82,54.59,HOLD,-2.01,,0.00
10-28-2022,29.41,58.47,HOLD,2.12,,0.00
10-27-2022,28.80,55.43,HOLD,0.24,,0.00
10-26-2022,28.73,55.08,HOLD,-1.41,,0.00
10-25-2022,29.14,57.54,HOLD,5.73,,0.00
10-24-2022,27.56,49.47,HOLD,0.80,,0.00
10-21-2022,27.34,48.20,HOLD,3.25,,0.00
10-20-2022,26.48,42.99,HOLD,-0.60,,0.00
10-19-2022,26.64,43.75,HOLD,-4.55,,0.00
10-18-2022,27.91,50.31,HOLD,2.61,,0.00
10-17-2022,27.20,46.11,HOLD,2.45,,0.00
10-14-2022,26.55,41.95,HOLD,-3.42,,0.00
10-13-2022,27.49,46.81,HOLD,-0.18,,0.00
10-12-2022,27.54,47.08,HOLD,-2.06,,0.00
10-11-2022,28.12,50.19,HOLD,1.37,,0.00
10-10-2022,27.74,48.10,HOLD,-0.04,,0.00
10-07-2022,27.75,48.15,HOLD,-3.18,,0.00
10-06-2022,28.66,52.71,HOLD,1.02,,0.00
10-05-2022,28.37,51.35,HOLD,-1.39,,0.00
10-04-2022,28.77,53.32,HOLD,5.35,,0.00
10-03-2022,27.31,46.34,HOLD,5.36,,0.00
09-30-2022,25.92,38.17,HOLD,-0.27,,0.00
09-29-2022,25.99,38.45,HOLD,-3.71,,0.00
09-28-2022,26.99,42.49,HOLD,5.80,,0.00
09-27-2022,25.51,32.78,HOLD,-1.92,,0.00
09-26-2022,26.01,34.61,HOLD,-4.38,,0.00
09-23-2022,27.20,39.49,HOLD,2.26,,0.00
09-22-2022,26.60,35.22,HOLD,-5.07,,0.00
09-21-2022,28.02,41.69,HOLD,-2.23,,0.00
09-20-2022,28.66,45.17,HOLD,-2.08,,0.00
09-19-2022,29.27,48.76,HOLD,3.17,,0.00
09-16-2022,28.37,42.49,HOLD,2.34,,0.00
09-15-2022,27.72,37.34,HOLD,-0.04,,0.00
09-14-2022,27.73,37.39,HOLD,-0.22,,0.00
09-13-2022,27.79,37.65,HOLD,-7.03,,0.00
09-12-2022,29.89,49.13,HOLD,1.22,,0.00
09-09-2022,29.53,46.53,HOLD,3.07,,0.00
09-08-2022,28.65,39.54,HOLD,0.67,,0.00
09-07-2022,28.46,37.91,HOLD,2.60,,0.00
09-06-2022,27.74,31.41,HOLD,-1.74,,0.00
09-02-2022,28.23,33.64,HOLD,-0.07,,0.00
09-01-2022,28.25,33.73,HOLD,-1.40,,0.00
08-31-2022,28.65,35.50,HOLD,-2.19,,0.00
08-30-2022,29.29,38.51,HOLD,-1.15,,0.00
08-29-2022,29.63,40.19,HOLD,0.30,,0.00
08-26-2022,29.54,39.55,HOLD,-4.86,,0.00
08-25-2022,31.05,47.59,HOLD,2.61,,0.00
08-24-2022,30.26,41.84,HOLD,1.68,,0.00
08-23-2022,29.76,37.84,HOLD,-0.30,,0.00
08-22-2022,29.85,38.28,HOLD,-2.58,,0.00
08-19-2022,30.64,42.29,HOLD,-4.40,,0.00
08-18-2022,32.05,51.19,HOLD,-0.09,,0.00
08-17-2022,32.08,51.41,HOLD,-3.05,,0.00
08-16-2022,33.09,59.13,HOLD,0.30,,0.00
08-15-2022,32.99,58.55,HOLD,-1.40,,0.00
08-12-2022,33.46,62.36,HOLD,1.55,,0.00
08-11-2022,32.95,59.72,HOLD,1.26,,0.00
08-10-2022,32.54,57.50,HOLD,3.63,,0.00
08-09-2022,31.40,50.42,HOLD,-2.82,,0.00
08-08-2022,32.31,57.52,HOLD,1.92,,0.00
08-05-2022,31.70,53.44,HOLD,0.03,,0.00
08-04-2022,31.69,53.37,HOLD,1.86,,0.00
08-03-2022,31.11,49.38,HOLD,0.71,,0.00
08-02-2022,30.89,47.81,HOLD,-5.51,,0.00
08-01-2022,32.69,62.59,HOLD,0.15,,0.00
07-29-2022,32.64,62.29,HOLD,0.06,,0.00
07-28-2022,32.62,62.17,HOLD,0.43,,0.00
07-27-2022,32.48,61.42,HOLD,3.11,,0.00
07-26-2022,31.50,55.71,HOLD,-0.76,,0.00
07-25-2022,31.74,57.65,HOLD,-2.10,,0.00
07-22-2022,32.42,63.47,HOLD,0.90,,0.00
07-21-2022,32.13,61.95,HOLD,2.42,,0.00
07-20-2022,31.37,57.66,HOLD,0.00,,0.00
07-19-2022,31.37,57.66,HOLD,3.50,,0.00
07-18-2022,30.31,51.02,HOLD,-0.33,,0.00
07-15-2022,30.41,51.73,HOLD,0.56,,0.00
07-14-2022,30.24,50.64,HOLD,-1.18,,0.00
07-13-2022,30.60,52.99,HOLD,0.69,,0.00
07-12-2022,30.39,51.78,HOLD,0.07,,0.00
07-11-2022,30.37,51.67,HOLD,-0.82,,0.00
07-08-2022,30.62,53.07,HOLD,1.49,,0.00
07-07-2022,30.17,50.84,HOLD,-0.23,,0.00
07-06-2022,30.24,51.19,HOLD,-1.08,,0.00
07-05-2022,30.57,52.79,HOLD,3.10,,0.00
07-01-2022,29.65,48.64,HOLD,4.18,,0.00
06-30-2022,28.46,42.57,HOLD,1.14,,0.00
06-29-2022,28.14,40.83,HOLD,-1.61,,0.00
06-28-2022,28.60,42.55,HOLD,-2.39,,0.00
06-27-2022,29.30,45.26,HOLD,0.34,,0.00
06-24-2022,29.20,44.79,HOLD,2.49,,0.00
06-23-2022,28.49,41.51,HOLD,8.62,,0.00
06-22-2022,26.23,29.07,HOLD,2.42,,0.00
06-21-2022,25.61,25.00,BUY,0.20,,0.00
06-17-2022,25.56,24.68,BUY,-1.84,,0.00
06-16-2022,26.04,25.67,BUY,-8.05,,0.00
06-15-2022,28.32,31.16,HOLD,-0.74,,0.00
06-14-2022,28.53,31.74,HOLD,-1.89,,0.00
06-13-2022,29.08,33.25,HOLD,-6.79,,0.00
06-10-2022,31.20,40.05,HOLD,-5.71,,0.00
06-09-2022,33.09,48.23,HOLD,0.46,,0.00
06-08-2022,32.94,47.44,HOLD,-1.99,,0.00
06-07-2022,33.61,50.65,HOLD,0.75,,0.00
06-06-2022,33.36,49.46,HOLD,-0.86,,0.00
06-03-2022,33.65,50.78,HOLD,-1.46,,0.00
06-02-2022,34.15,53.03,HOLD,0.44,,0.00
06-01-2022,34.00,52.44,HOLD,-1.42,,0.00
05-31-2022,34.49,54.51,HOLD,-0.92,,0.00
05-27-2022,34.81,55.85,HOLD,1.25,,0.00
05-26-2022,34.38,54.45,HOLD,4.28,,0.00
05-25-2022,32.97,49.61,HOLD,5.10,,0.00
05-24-2022,31.37,43.26,HOLD,-2.73,,0.00
05-23-2022,32.25,46.24,HOLD,-2.33,,0.00
05-20-2022,33.02,48.98,HOLD,0.92,,0.00
05-19-2022,32.72,47.86,HOLD,2.63,,0.00
05-18-2022,31.88,44.71,HOLD,-6.32,,0.00
05-17-2022,34.03,52.20,HOLD,3.47,,0.00
05-16-2022,32.89,47.90,HOLD,-1.32,,0.00
05-13-2022,33.33,49.50,HOLD,1.74,,0.00
05-12-2022,32.76,47.39,HOLD,6.09,,0.00
05-11-2022,30.88,39.68,HOLD,-6.93,,0.00
05-10-2022,33.18,47.61,HOLD,-0.48,,0.00
05-09-2022,33.34,48.23,HOLD,0.39,,0.00
05-06-2022,33.21,47.71,HOLD,-2.24,,0.00
05-05-2022,33.97,50.44,HOLD,-4.87,,0.00
05-04-2022,35.71,57.42,HOLD,5.87,,0.00
05-03-2022,33.73,50.13,HOLD,2.06,,0.00
05-02-2022,33.05,47.25,HOLD,1.91,,0.00
04-29-2022,32.43,44.54,HOLD,-5.06,,0.00
04-28-2022,34.16,51.38,HOLD,5.53,,0.00
04-27-2022,32.37,42.96,HOLD,-2.94,,0.00
04-26-2022,33.35,47.11,HOLD,-1.65,,0.00
04-25-2022,33.91,49.65,HOLD,4.79,,0.00
04-22-2022,32.36,41.54,HOLD,-4.09,,0.00
04-21-2022,33.74,47.92,HOLD,-1.37,,0.00
04-20-2022,34.21,50.37,HOLD,0.44,,0.00
04-19-2022,34.06,49.61,HOLD,3.94,,0.00
04-18-2022,32.77,42.56,HOLD,-1.30,,0.00
04-14-2022,33.20,44.48,HOLD,0.09,,0.00
04-13-2022,33.17,44.32,HOLD,3.14,,0.00
04-12-2022,32.16,38.68,HOLD,2.26,,0.00
04-11-2022,31.45,34.34,HOLD,1.39,,0.00
04-08-2022,31.02,31.62,HOLD,-0.16,,0.00
04-07-2022,31.07,31.76,HOLD,0.26,,0.00
04-06-2022,30.99,31.30,HOLD,-3.22,,0.00
04-05-2022,32.02,34.04,HOLD,-3.23,,0.00
04-04-2022,33.09,37.17,HOLD,1.07,,0.00
04-01-2022,32.74,35.37,HOLD,1.11,,0.00
